
Umea, Sweden	63:50:0  20:15:0
	Sunrise	Noon	Shkia	Candles	Motzei Shabbat
27/Oct	08:04	12:22	16:41	16:26	17:51
30/Oct	07:14	11:22	15:31	15:16	16:42
 2/Nov	07:24	11:22	15:20	15:05	16:33
 5/Nov	07:34	11:22	15:10	14:55	16:25
 8/Nov	07:44	11:22	15:01	14:46	16:17
11/Nov	07:54	11:23	14:51	14:36	16:09
14/Nov	08:04	11:23	14:42	14:27	11:23
17/Nov	08:14	11:23	14:33	14:18	11:23
20/Nov	08:24	11:24	14:24	14:09	11:24
23/Nov	08:34	11:25	14:16	14:01	11:25
26/Nov	08:44	11:26	14:08	13:53	11:26
29/Nov	08:53	11:27	14:00	13:45	11:27
 2/Dec	09:02	11:28	13:54	13:39	11:28
 5/Dec	09:10	11:29	13:48	13:33	11:29
 8/Dec	09:18	11:30	13:43	13:28	11:30
11/Dec	09:24	11:31	13:39	13:24	11:31
14/Dec	09:30	11:33	13:35	13:20	11:33
17/Dec	09:35	11:34	13:34	13:19	11:34
20/Dec	09:38	11:36	13:34	13:19	11:36
23/Dec	09:40	11:37	13:35	13:20	11:37
26/Dec	09:40	11:38	13:37	13:22	11:38
29/Dec	09:39	11:40	13:41	13:26	11:40

