
London	51:34:57  0:-13:-28
	Sunrise	Noon	Shkia	Candles	Motzei Shabbat
30/May	04:46	12:58	21:09	20:54	22:14
 2/Jun	04:44	12:58	21:12	20:57	22:19
 5/Jun	04:41	12:59	21:16	21:01	22:23
 8/Jun	04:40	12:59	21:19	21:04	22:27
11/Jun	04:38	13:00	21:21	21:06	22:30
14/Jun	04:38	13:00	21:23	21:08	22:33
17/Jun	04:36	13:00	21:24	21:09	22:33
20/Jun	04:37	13:02	21:26	21:11	22:36
23/Jun	04:38	13:02	21:27	21:12	22:37
26/Jun	04:39	13:03	21:27	21:12	22:37
29/Jun	04:41	13:04	21:27	21:12	22:36
 2/Jul	04:43	13:04	21:26	21:11	22:35
 5/Jul	04:45	13:05	21:25	21:10	22:33
 8/Jul	04:48	13:05	21:23	21:08	22:30
11/Jul	04:51	13:06	21:21	21:06	22:27
14/Jul	04:54	13:06	21:18	21:03	22:23
17/Jul	04:58	13:06	21:15	21:00	22:19
20/Jul	05:02	13:07	21:12	20:57	22:14
23/Jul	05:06	13:07	21:08	20:53	22:09
26/Jul	05:10	13:07	21:04	20:49	22:04
29/Jul	05:14	13:07	20:59	20:44	21:58
 1/Aug	05:19	13:07	20:54	20:39	21:52
 4/Aug	05:24	13:06	20:49	20:34	21:46
 7/Aug	05:29	13:06	20:44	20:29	21:40
10/Aug	05:33	13:06	20:38	20:23	21:33
13/Aug	05:38	13:05	20:32	20:17	21:26
16/Aug	05:43	13:05	20:26	20:11	21:19
19/Aug	05:48	13:04	20:20	20:05	21:12
22/Aug	04:58	13:03	21:09	20:54	22:12
25/Aug	05:58	13:03	20:07	19:52	20:57
28/Aug	06:03	13:02	20:01	19:46	20:50
31/Aug	06:07	13:00	19:53	19:38	20:42
 3/Sep	06:13	13:00	19:47	19:32	20:35
 6/Sep	06:18	12:59	19:40	19:25	20:28
 9/Sep	06:23	12:58	19:33	19:18	20:21
12/Sep	06:28	12:57	19:26	19:11	20:13
15/Sep	06:32	12:56	19:19	19:04	20:06
18/Sep	06:37	12:55	19:12	18:57	19:58
21/Sep	06:42	12:54	19:05	18:50	19:51
24/Sep	06:36	12:53	19:09	18:54	19:55
27/Sep	06:52	12:52	18:51	18:36	19:37
30/Sep	06:57	12:51	18:44	18:29	19:30
 3/Oct	07:02	12:50	18:37	18:22	19:23
 6/Oct	07:07	12:49	18:30	18:15	19:16
 9/Oct	07:13	12:48	18:23	18:08	19:09
12/Oct	07:18	12:47	18:16	18:01	19:02
15/Oct	07:23	12:46	18:10	17:55	18:56
18/Oct	07:28	12:46	18:03	17:48	18:50
21/Oct	07:33	12:45	17:57	17:42	18:43
24/Oct	07:39	12:45	17:51	17:36	18:38
27/Oct	07:44	12:44	17:45	17:30	18:32
30/Oct	07:50	12:44	17:39	17:24	18:26
 2/Nov	06:55	11:44	16:33	16:18	17:21
 5/Nov	07:00	11:44	16:28	16:13	17:16
 8/Nov	07:06	11:44	16:22	16:07	17:11
11/Nov	07:11	11:44	16:18	16:03	17:07
14/Nov	07:17	11:45	16:13	15:58	17:03
17/Nov	07:22	11:45	16:09	15:54	16:59
20/Nov	07:27	11:46	16:05	15:50	16:56
23/Nov	07:32	11:47	16:01	15:46	16:53
26/Nov	07:37	11:48	15:58	15:43	16:50
29/Nov	07:41	11:48	15:55	15:40	16:48
 2/Dec	07:46	11:50	15:53	15:38	16:46
 5/Dec	07:50	11:51	15:52	15:37	16:45
 8/Dec	07:54	11:52	15:50	15:35	16:44
11/Dec	07:57	11:53	15:50	15:35	16:44
14/Dec	08:00	11:55	15:49	15:34	16:44
17/Dec	08:03	11:56	15:50	15:35	16:44
20/Dec	08:05	11:58	15:51	15:36	16:45
23/Dec	08:06	11:59	15:52	15:37	16:47
26/Dec	08:07	12:00	15:53	15:38	16:48
29/Dec	08:08	12:02	15:56	15:41	16:51

State College	40:47:29  -77:-51:-31
	Sunrise	Noon	Shkia	Candles	Motzei Shabbat
 1/Jan	07:37	12:14	16:52	16:37	17:34
 4/Jan	07:37	12:16	16:54	16:39	17:36
 7/Jan	07:37	12:17	16:57	16:42	17:39
10/Jan	07:36	12:18	17:00	16:45	17:42
13/Jan	07:36	12:19	17:03	16:48	17:45
16/Jan	07:34	12:20	17:06	16:51	17:48
19/Jan	07:35	12:23	17:12	16:57	17:53
22/Jan	07:31	12:22	17:14	16:59	17:54
25/Jan	07:29	12:23	17:17	17:02	17:58
28/Jan	07:27	12:24	17:21	17:06	18:01
31/Jan	07:24	12:24	17:25	17:10	18:04
 3/Feb	07:21	12:25	17:29	17:14	18:08
 6/Feb	07:18	12:25	17:32	17:17	18:12
 9/Feb	05:25	12:25	19:26	19:11	20:07
12/Feb	07:11	12:25	17:40	17:25	18:19
15/Feb	07:07	12:25	17:44	17:29	18:22
18/Feb	07:03	12:25	17:47	17:32	18:26
21/Feb	06:58	12:25	17:51	17:36	18:29
24/Feb	06:54	12:24	17:55	17:40	18:33
27/Feb	06:49	12:24	17:58	17:43	18:36
 1/Mar	06:46	12:24	18:01	17:46	18:39
 4/Mar	06:41	12:23	18:05	17:50	18:42
 7/Mar	06:36	12:22	18:08	17:53	18:46
10/Mar	06:32	12:21	18:11	17:56	18:49
13/Mar	06:27	12:21	18:15	18:00	18:52
16/Mar	07:22	13:20	19:18	19:03	19:56
19/Mar	07:11	13:19	19:27	19:12	20:05
22/Mar	07:11	13:18	19:25	19:10	20:02
25/Mar	07:06	13:17	19:28	19:13	20:06
28/Mar	07:01	13:16	19:31	19:16	20:09
31/Mar	06:56	13:15	19:35	19:20	20:13
 3/Apr	06:51	13:14	19:38	19:23	20:16
 6/Apr	06:46	13:14	19:41	19:26	20:20
 9/Apr	06:41	13:13	19:44	19:29	20:23
12/Apr	06:36	13:12	19:48	19:33	20:27
15/Apr	06:31	13:11	19:51	19:36	20:30
18/Apr	06:27	13:10	19:54	19:39	20:34
21/Apr	06:22	13:10	19:58	19:43	20:37
24/Apr	06:18	13:09	20:01	19:46	20:41
27/Apr	06:13	13:09	20:04	19:49	20:45
30/Apr	06:09	13:08	20:07	19:52	20:48
 3/May	06:05	13:08	20:11	19:56	20:52
 6/May	06:01	13:08	20:14	19:59	20:56
 9/May	05:58	13:07	20:17	20:02	20:59
12/May	05:54	13:07	20:20	20:05	21:03
15/May	05:51	13:07	20:23	20:08	21:06
18/May	05:48	13:07	20:26	20:11	21:10
21/May	05:46	13:07	20:29	20:14	21:13
24/May	05:43	13:08	20:32	20:17	21:16
27/May	05:41	13:08	20:35	20:20	21:20
30/May	05:39	13:08	20:37	20:22	21:23
 2/Jun	05:38	13:09	20:39	20:24	21:25
 5/Jun	05:37	13:09	20:42	20:27	21:28
 8/Jun	05:36	13:10	20:43	20:28	21:30
11/Jun	05:35	13:10	20:45	20:30	21:32
14/Jun	05:35	13:11	20:47	20:32	21:34
17/Jun	05:34	13:10	20:47	20:32	21:34
20/Jun	05:35	13:12	20:49	20:34	21:36
23/Jun	05:36	13:13	20:50	20:35	21:37
26/Jun	05:37	13:13	20:50	20:35	21:37
29/Jun	05:38	13:14	20:50	20:35	21:37
 2/Jul	05:40	13:15	20:50	20:35	21:37
 5/Jul	05:41	13:15	20:49	20:34	21:36
 8/Jul	05:43	13:16	20:48	20:33	21:35
11/Jul	05:45	13:16	20:47	20:32	21:33
14/Jul	05:47	13:17	20:46	20:31	21:31
17/Jul	05:50	13:17	20:44	20:29	21:29
20/Jul	05:52	13:17	20:42	20:27	21:27
23/Jul	05:55	13:17	20:40	20:25	21:24
26/Jul	05:58	13:17	20:37	20:22	21:21
29/Jul	06:01	13:17	20:34	20:19	21:17
 1/Aug	06:04	13:17	20:31	20:16	21:14
 4/Aug	06:07	13:17	20:27	20:12	21:10
 7/Aug	06:10	13:17	20:24	20:09	21:06
10/Aug	06:13	13:16	20:20	20:05	21:02
13/Aug	06:16	13:16	20:16	20:01	20:57
16/Aug	06:19	13:15	20:12	19:57	20:53
19/Aug	06:22	13:15	20:07	19:52	20:48
22/Aug	05:49	13:14	20:39	20:24	21:24
25/Aug	06:28	13:13	19:58	19:43	20:38
28/Aug	06:31	13:12	19:54	19:39	20:33
31/Aug	06:33	13:10	19:48	19:33	20:27
 3/Sep	06:37	13:11	19:44	19:29	20:22
 6/Sep	06:40	13:10	19:39	19:24	20:17
 9/Sep	06:43	13:09	19:34	19:19	20:12
12/Sep	06:46	13:07	19:29	19:14	20:07
15/Sep	06:49	13:06	19:23	19:08	20:01
18/Sep	06:53	13:05	19:18	19:03	19:56
21/Sep	06:56	13:04	19:13	18:58	19:51
24/Sep	06:51	13:03	19:15	19:00	19:53
27/Sep	07:02	13:02	19:03	18:48	19:40
30/Sep	07:05	13:01	18:57	18:42	19:35
 3/Oct	07:08	13:00	18:52	18:37	19:30
 6/Oct	07:11	12:59	18:47	18:32	19:25
 9/Oct	07:15	12:58	18:42	18:27	19:20
12/Oct	07:18	12:58	18:37	18:22	19:15
15/Oct	07:21	12:57	18:33	18:18	19:10
18/Oct	07:25	12:56	18:28	18:13	19:06
21/Oct	07:28	12:56	18:23	18:08	19:01
24/Oct	07:32	12:55	18:19	18:04	18:57
27/Oct	07:35	12:55	18:15	18:00	18:53
30/Oct	07:39	12:55	18:11	17:56	18:49
 2/Nov	07:42	12:55	18:07	17:52	18:46
 5/Nov	07:46	12:55	18:03	17:48	18:42
 8/Nov	06:49	11:55	17:00	16:45	17:39
11/Nov	06:53	11:55	16:57	16:42	17:36
14/Nov	06:57	11:55	16:54	16:39	17:34
17/Nov	07:00	11:56	16:51	16:36	17:31
20/Nov	07:04	11:56	16:49	16:34	17:29
23/Nov	07:07	11:57	16:47	16:32	17:28
26/Nov	07:11	11:58	16:45	16:30	17:26
29/Nov	07:14	11:59	16:44	16:29	17:25
 2/Dec	07:17	12:00	16:43	16:28	17:24
 5/Dec	07:20	12:01	16:42	16:27	17:24
 8/Dec	07:23	12:03	16:42	16:27	17:24
11/Dec	07:26	12:04	16:42	16:27	17:24
14/Dec	07:28	12:05	16:42	16:27	17:24
17/Dec	07:30	12:07	16:43	16:28	17:25
20/Dec	07:32	12:08	16:44	16:29	17:26
23/Dec	07:34	12:10	16:46	16:31	17:28
26/Dec	07:35	12:11	16:47	16:32	17:29
29/Dec	07:36	12:13	16:49	16:34	17:31

Vancouver, BC	49:16:0  -123:-7:0
	Sunrise	Noon	Shkia	Candles	Motzei Shabbat
 1/Jan	08:07	12:15	16:23	16:08	17:13
 4/Jan	08:07	12:17	16:26	16:11	17:16
 7/Jan	08:06	12:18	16:29	16:14	17:19
10/Jan	08:05	12:19	16:33	16:18	17:23
13/Jan	08:04	12:20	16:37	16:22	17:26
16/Jan	08:02	12:22	16:41	16:26	17:30
19/Jan	08:01	12:25	16:48	16:33	17:36
22/Jan	07:56	12:23	16:50	16:35	17:38
25/Jan	07:53	12:24	16:55	16:40	17:43
28/Jan	07:50	12:25	17:00	16:45	17:47
31/Jan	07:46	12:25	17:05	16:50	17:51
 3/Feb	07:42	12:26	17:10	16:55	17:56
 6/Feb	07:37	12:26	17:15	17:00	18:01
 9/Feb	05:07	12:26	19:46	19:31	20:35
12/Feb	07:27	12:26	17:25	17:10	18:10
15/Feb	07:22	12:26	17:30	17:15	18:15
18/Feb	07:17	12:26	17:35	17:20	18:20
21/Feb	07:11	12:26	17:40	17:25	18:24
24/Feb	07:06	12:25	17:45	17:30	18:29
27/Feb	07:00	12:25	17:50	17:35	18:34
 1/Mar	06:55	12:25	17:54	17:39	18:37
 4/Mar	06:49	12:24	17:59	17:44	18:42
 7/Mar	06:43	12:23	18:04	17:49	18:47
10/Mar	06:37	12:23	18:08	17:53	18:52
13/Mar	06:30	12:22	18:13	17:58	18:56
16/Mar	07:24	13:21	19:18	19:03	20:01
19/Mar	07:10	13:20	19:30	19:15	20:13
22/Mar	07:11	13:19	19:27	19:12	20:11
25/Mar	07:05	13:18	19:32	19:17	20:15
28/Mar	06:58	13:17	19:36	19:21	20:20
31/Mar	06:52	13:16	19:41	19:26	20:25
 3/Apr	06:45	13:16	19:46	19:31	20:30
 6/Apr	06:39	13:15	19:50	19:35	20:35
 9/Apr	06:33	13:14	19:55	19:40	20:40
12/Apr	06:26	13:13	20:00	19:45	20:45
15/Apr	06:20	13:12	20:04	19:49	20:50
18/Apr	06:14	13:11	20:09	19:54	20:55
21/Apr	06:09	13:11	20:13	19:58	21:01
24/Apr	06:03	13:10	20:18	20:03	21:06
27/Apr	05:57	13:10	20:22	20:07	21:11
30/Apr	05:52	13:09	20:27	20:12	21:16
 3/May	05:46	13:09	20:32	20:17	21:22
 6/May	05:41	13:09	20:36	20:21	21:27
 9/May	05:36	13:08	20:40	20:25	21:32
12/May	05:32	13:08	20:45	20:30	21:37
15/May	05:27	13:08	20:49	20:34	21:43
18/May	05:23	13:08	20:53	20:38	21:48
21/May	05:20	13:08	20:57	20:42	21:53
24/May	05:16	13:09	21:01	20:46	21:57
27/May	05:13	13:09	21:05	20:50	22:02
30/May	05:11	13:09	21:08	20:53	22:06
 2/Jun	05:08	13:10	21:11	20:56	22:10
 5/Jun	05:06	13:10	21:14	20:59	22:14
 8/Jun	05:05	13:11	21:16	21:01	22:17
11/Jun	05:04	13:11	21:19	21:04	22:19
14/Jun	05:03	13:12	21:21	21:06	22:22
17/Jun	05:02	13:11	21:21	21:06	22:22
20/Jun	05:03	13:13	21:23	21:08	22:25
23/Jun	05:04	13:14	21:24	21:09	22:25
26/Jun	05:05	13:15	21:24	21:09	22:26
29/Jun	05:06	13:15	21:24	21:09	22:25
 2/Jul	05:08	13:16	21:23	21:08	22:24
 5/Jul	05:10	13:16	21:22	21:07	22:23
 8/Jul	05:13	13:17	21:21	21:06	22:21
11/Jul	05:15	13:17	21:19	21:04	22:18
14/Jul	05:18	13:18	21:17	21:02	22:15
17/Jul	05:22	13:18	21:14	20:59	22:12
20/Jul	05:25	13:18	21:11	20:56	22:08
23/Jul	05:29	13:18	21:08	20:53	22:03
26/Jul	05:33	13:18	21:04	20:49	21:59
29/Jul	05:37	13:18	21:00	20:45	21:54
 1/Aug	05:41	13:18	20:56	20:41	21:49
 4/Aug	05:45	13:18	20:51	20:36	21:43
 7/Aug	05:49	13:18	20:46	20:31	21:38
10/Aug	05:53	13:17	20:41	20:26	21:32
13/Aug	05:58	13:17	20:36	20:21	21:26
16/Aug	06:02	13:16	20:31	20:16	21:19
19/Aug	06:06	13:16	20:25	20:10	21:13
22/Aug	05:22	13:15	21:08	20:53	22:05
25/Aug	06:15	13:14	20:13	19:58	21:00
28/Aug	06:20	13:13	20:07	19:52	20:53
31/Aug	06:23	13:11	20:00	19:45	20:46
 3/Sep	06:28	13:12	19:55	19:40	20:40
 6/Sep	06:33	13:11	19:48	19:33	20:33
 9/Sep	06:37	13:10	19:42	19:27	20:26
12/Sep	06:41	13:08	19:35	19:20	20:20
15/Sep	06:46	13:07	19:29	19:14	20:13
18/Sep	06:50	13:06	19:22	19:07	20:06
21/Sep	06:55	13:05	19:16	19:01	19:59
24/Sep	06:49	13:04	19:19	19:04	20:03
27/Sep	07:04	13:03	19:03	18:48	19:46
30/Sep	07:08	13:02	18:56	18:41	19:40
 3/Oct	07:13	13:01	18:50	18:35	19:33
 6/Oct	07:17	13:00	18:44	18:29	19:27
 9/Oct	07:22	12:59	18:37	18:22	19:21
12/Oct	07:26	12:59	18:31	18:16	19:14
15/Oct	07:31	12:58	18:25	18:10	19:08
18/Oct	07:36	12:57	18:19	18:04	19:03
21/Oct	07:40	12:57	18:13	17:58	18:57
24/Oct	07:45	12:56	18:07	17:52	18:52
27/Oct	07:50	12:56	18:02	17:47	18:46
30/Oct	07:55	12:56	17:56	17:41	18:41
 2/Nov	08:00	12:56	17:51	17:36	18:37
 5/Nov	08:05	12:56	17:46	17:31	18:32
 8/Nov	07:10	11:56	16:42	16:27	17:28
11/Nov	07:14	11:56	16:37	16:22	17:24
14/Nov	07:19	11:56	16:33	16:18	17:20
17/Nov	07:24	11:57	16:30	16:15	17:17
20/Nov	07:29	11:57	16:26	16:11	17:14
23/Nov	07:33	11:58	16:23	16:08	17:11
26/Nov	07:38	11:59	16:20	16:05	17:09
29/Nov	07:42	12:00	16:18	16:03	17:07
 2/Dec	07:46	12:01	16:16	16:01	17:06
 5/Dec	07:50	12:02	16:15	16:00	17:05
 8/Dec	07:53	12:04	16:14	15:59	17:04
11/Dec	07:56	12:05	16:14	15:59	17:04
14/Dec	07:59	12:06	16:13	15:58	17:04
17/Dec	08:02	12:08	16:14	15:59	17:05
20/Dec	08:04	12:09	16:15	16:00	17:06
23/Dec	08:05	12:11	16:16	16:01	17:07
26/Dec	08:06	12:12	16:18	16:03	17:08
29/Dec	08:07	12:14	16:20	16:05	17:11

Jerusalem	31:47:0  35:13:0
	Sunrise	Noon	Shkia	Candles	Motzei Shabbat
 1/Jan	06:40	11:42	16:44	16:29	17:21
 4/Jan	06:40	11:43	16:46	16:31	17:23
 7/Jan	06:41	11:45	16:49	16:34	17:25
10/Jan	06:41	11:46	16:51	16:36	17:27
13/Jan	06:40	11:47	16:54	16:39	17:30
16/Jan	06:40	11:48	16:56	16:41	17:32
19/Jan	06:41	11:51	17:01	16:46	17:37
22/Jan	06:38	11:50	17:02	16:47	17:37
25/Jan	06:37	11:51	17:05	16:50	17:40
28/Jan	06:35	11:51	17:07	16:52	17:43
31/Jan	06:34	11:52	17:10	16:55	17:45
 3/Feb	06:32	11:52	17:13	16:58	17:48
 6/Feb	06:30	11:53	17:16	17:01	17:50
 9/Feb	05:09	11:53	18:37	18:22	19:13
12/Feb	06:25	11:53	17:21	17:06	17:56
15/Feb	06:22	11:53	17:24	17:09	17:58
18/Feb	06:19	11:53	17:27	17:12	18:01
21/Feb	06:16	11:52	17:29	17:14	18:03
24/Feb	06:12	11:52	17:32	17:17	18:05
27/Feb	06:09	11:52	17:34	17:19	18:08
 1/Mar	06:07	11:51	17:36	17:21	18:09
 4/Mar	06:03	11:51	17:38	17:23	18:12
 7/Mar	05:59	11:50	17:41	17:26	18:14
10/Mar	05:56	11:49	17:43	17:28	18:16
13/Mar	05:52	11:48	17:45	17:30	18:18
16/Mar	05:48	11:48	17:47	17:32	18:20
19/Mar	05:40	11:47	17:53	17:38	18:27
22/Mar	05:40	11:46	17:52	17:37	18:25
25/Mar	05:36	11:45	17:54	17:39	18:27
28/Mar	06:32	12:44	18:56	18:41	19:29
31/Mar	06:28	12:43	18:58	18:43	19:31
 3/Apr	06:24	12:42	19:00	18:45	19:34
 6/Apr	06:21	12:41	19:02	18:47	19:36
 9/Apr	06:17	12:40	19:04	18:49	19:38
12/Apr	06:13	12:40	19:06	18:51	19:40
15/Apr	06:09	12:38	19:08	18:53	19:42
18/Apr	06:06	12:38	19:11	18:56	19:45
21/Apr	06:02	12:38	19:13	18:58	19:48
24/Apr	05:59	12:37	19:15	19:00	19:50
27/Apr	05:56	12:36	19:17	19:02	19:52
30/Apr	05:53	12:36	19:19	19:04	19:55
 3/May	05:50	12:36	19:21	19:06	19:57
 6/May	05:47	12:35	19:24	19:09	20:00
 9/May	05:44	12:35	19:26	19:11	20:02
12/May	05:42	12:35	19:28	19:13	20:05
15/May	05:40	12:35	19:30	19:15	20:07
18/May	05:38	12:35	19:32	19:17	20:09
21/May	05:36	12:35	19:34	19:19	20:12
24/May	05:34	12:35	19:36	19:21	20:14
27/May	05:33	12:36	19:38	19:23	20:16
30/May	05:32	12:36	19:40	19:25	20:18
 2/Jun	05:31	12:36	19:42	19:27	20:20
 5/Jun	05:30	12:37	19:44	19:29	20:22
 8/Jun	05:30	12:37	19:45	19:30	20:24
11/Jun	05:30	12:38	19:46	19:31	20:25
14/Jun	05:30	12:39	19:48	19:33	20:27
17/Jun	05:29	12:38	19:48	19:33	20:27
20/Jun	05:30	12:40	19:50	19:35	20:29
23/Jun	05:31	12:41	19:50	19:35	20:29
26/Jun	05:32	12:41	19:51	19:36	20:30
29/Jun	05:33	12:42	19:51	19:36	20:30
 2/Jul	05:34	12:42	19:51	19:36	20:30
 5/Jul	05:35	12:43	19:51	19:36	20:30
 8/Jul	05:37	12:43	19:50	19:35	20:29
11/Jul	05:38	12:44	19:50	19:35	20:28
14/Jul	05:40	12:44	19:49	19:34	20:27
17/Jul	05:42	12:45	19:48	19:33	20:26
20/Jul	05:43	12:45	19:46	19:31	20:24
23/Jul	05:45	12:45	19:45	19:30	20:22
26/Jul	05:47	12:45	19:43	19:28	20:20
29/Jul	05:49	12:45	19:41	19:26	20:18
 1/Aug	05:51	12:45	19:38	19:23	20:15
 4/Aug	05:53	12:45	19:36	19:21	20:12
 7/Aug	05:55	12:44	19:33	19:18	20:09
10/Aug	05:57	12:44	19:31	19:16	20:06
13/Aug	06:00	12:44	19:28	19:13	20:03
16/Aug	06:02	12:43	19:24	19:09	20:00
19/Aug	06:04	12:42	19:21	19:06	19:56
22/Aug	05:40	12:42	19:43	19:28	20:21
25/Aug	06:08	12:41	19:14	18:59	19:49
28/Aug	06:09	12:40	19:11	18:56	19:45
31/Aug	06:10	12:38	19:06	18:51	19:40
 3/Sep	06:13	12:38	19:03	18:48	19:37
 6/Sep	06:15	12:37	18:59	18:44	19:33
 9/Sep	06:17	12:36	18:55	18:40	19:29
12/Sep	05:19	11:35	17:51	17:36	18:25
15/Sep	05:21	11:34	17:47	17:32	18:21
18/Sep	05:23	11:33	17:43	17:28	18:17
21/Sep	05:25	11:32	17:39	17:24	18:12
24/Sep	05:21	11:31	17:41	17:26	18:14
27/Sep	05:29	11:30	17:31	17:16	18:04
30/Sep	05:31	11:29	17:27	17:12	18:00
 3/Oct	05:33	11:28	17:23	17:08	17:56
 6/Oct	05:35	11:27	17:19	17:04	17:53
 9/Oct	05:37	11:26	17:15	17:00	17:49
12/Oct	05:39	11:25	17:12	16:57	17:45
15/Oct	05:41	11:25	17:08	16:53	17:42
18/Oct	05:43	11:24	17:05	16:50	17:38
21/Oct	05:46	11:23	17:01	16:46	17:35
24/Oct	05:48	11:23	16:58	16:43	17:32
27/Oct	05:50	11:23	16:55	16:40	17:29
30/Oct	05:53	11:22	16:52	16:37	17:26
 2/Nov	05:56	11:22	16:49	16:34	17:23
 5/Nov	05:58	11:22	16:46	16:31	17:21
 8/Nov	06:01	11:22	16:44	16:29	17:19
11/Nov	06:03	11:23	16:42	16:27	17:17
14/Nov	06:06	11:23	16:40	16:25	17:15
17/Nov	06:09	11:24	16:38	16:23	17:14
20/Nov	06:11	11:24	16:37	16:22	17:12
23/Nov	06:14	11:25	16:36	16:21	17:11
26/Nov	06:17	11:26	16:35	16:20	17:11
29/Nov	06:19	11:27	16:34	16:19	17:10
 2/Dec	06:22	11:28	16:34	16:19	17:10
 5/Dec	06:24	11:29	16:34	16:19	17:10
 8/Dec	06:27	11:30	16:34	16:19	17:10
11/Dec	06:29	11:32	16:34	16:19	17:11
14/Dec	06:31	11:33	16:35	16:20	17:11
17/Dec	06:33	11:34	16:36	16:21	17:12
20/Dec	06:35	11:36	16:37	16:22	17:14
23/Dec	06:36	11:37	16:38	16:23	17:15
26/Dec	06:37	11:38	16:40	16:25	17:16
29/Dec	06:39	11:40	16:42	16:27	17:19

